"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Mammal Biodiversity","Regularly Flooded Veg.",0.1912,0.01,0.06,0.1,0.17,2.31
"Poultry","Shrubs",0.121666666666667,0.03,0.0525,0.1,0.1625,0.37
"Poultry","Mammal Biodiversity",0.237216494845361,0.01,0.05,0.1,0.21,3.23
"Continent","Herbaceous Veg.",0.2696,0.01,0.05,0.09,0.215,3.71
"Regularly Flooded Veg.","Evergreen Broadleaf
Trees",0.155873015873016,0.01,0.07,0.09,0.18,0.92
"Regularly Flooded Veg.","Herbaceous Veg.",0.24,0.02,0.045,0.09,0.1075,2.01
"Poultry","Evergreen/Deciduous
Needleleaf Trees",0.2095,0.02,0.0475,0.09,0.1925,2.36
"Shrubs","Evergreen Broadleaf
Trees",0.190526315789474,0.01,0.05,0.08,0.16,3.76
"Shrubs","Population",0.138837209302326,0.02,0.04,0.08,0.2,0.56
"Shrubs","Population Change",0.143030303030303,0.02,0.06,0.08,0.2,0.51
"Livestock Mammal
Headcount","Regularly Flooded Veg.",0.120714285714286,0.01,0.0375,0.08,0.1375,0.48
"Poultry","Population",0.140588235294118,0.01,0.045,0.08,0.2,0.63
"Regularly Flooded Veg.","Deciduous Broadleaf
Trees",0.114545454545455,0.03,0.03,0.06,0.135,0.36
"Urban/Built-up","Shrubs",0.152666666666667,0.01,0.035,0.05,0.145,0.93
NA," ",0,0,0,0,0,0
