"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Cultivated/Managed
Veg.","Evergreen/Deciduous
Needleleaf Trees",0.238909090909091,0.01,0.07,0.13,0.2375,1.91
"Livestock Mammal
Headcount","Evergreen/Deciduous
Needleleaf Trees",0.282086956521739,0.01,0.06,0.13,0.35,2.14
"Livestock Mammal
Headcount","Population",0.238403361344538,0.01,0.045,0.13,0.335,1.28
"Mammal Biodiversity","Urban/Built-up",0.233083333333333,0.01,0.0775,0.13,0.27,1.58
"Poultry","Cropland",0.209852941176471,0.01,0.0775,0.13,0.2525,1.19
"Poultry","Urban/Built-up",0.171363636363636,0.01,0.0525,0.13,0.25,0.54
"Cultivated/Managed
Veg.","Population Change",0.225142857142857,0.02,0.06,0.125,0.2475,1.82
"Evergreen Broadleaf
Trees","Cropland",0.141818181818182,0.01,0.05,0.12,0.195,0.51
"Shrubs","Evergreen/Deciduous
Needleleaf Trees",0.154411764705882,0.02,0.07,0.12,0.18,0.53
"Cultivated/Managed
Veg.","Evergreen Broadleaf
Trees",0.192758620689655,0.01,0.045,0.12,0.24,1.71
"Cultivated/Managed
Veg.","Shrubs",0.189722222222222,0.03,0.0675,0.12,0.225,1.16
"Urban/Built-up","Cultivated/Managed
Veg.",0.28304347826087,0.01,0.05,0.12,0.2625,4.08
"Livestock Mammal
Headcount","Population Change",0.270819672131148,0.01,0.06,0.12,0.33,3.34
"Poultry","Shrubs",0.22,0.01,0.05,0.12,0.22,1.12
"Deciduous Broadleaf
Trees","Evergreen/Deciduous
Needleleaf Trees",0.142826086956522,0.01,0.07,0.115,0.1975,0.91
"Regularly Flooded Veg.","Deciduous Broadleaf
Trees",0.156,0.04,0.0675,0.115,0.25,0.3
"Evergreen/Deciduous
Needleleaf Trees","Pasture",0.14,0.02,0.07,0.11,0.2,0.44
"Evergreen Broadleaf
Trees","Population Change",0.207954545454545,0.02,0.06,0.11,0.27,1.42
"Regularly Flooded Veg.","Shrubs",0.205882352941176,0.03,0.07,0.11,0.24,1.12
"Urban/Built-up","Mixed/Other Trees",0.256666666666667,0.01,0.05,0.11,0.24,2.38
"Urban/Built-up","Regularly Flooded Veg.",0.185925925925926,0.01,0.045,0.11,0.225,0.91
"Poultry","Evergreen/Deciduous
Needleleaf Trees",0.22037037037037,0.01,0.05,0.11,0.16,1.43
"Poultry","Population",0.224166666666667,0.02,0.0675,0.11,0.35,1.45
"Livestock Mammal
Headcount","Poultry",0.19625,0,0.05,0.105,0.1925,1.97
"Evergreen/Deciduous
Needleleaf Trees","Population",0.184683544303797,0.02,0.06,0.1,0.22,1.18
"Herbaceous Veg.","Evergreen Broadleaf
Trees",0.140425531914894,0.01,0.05,0.1,0.185,0.61
"Herbaceous Veg.","Shrubs",0.176666666666667,0.03,0.06,0.1,0.21,1.07
"Herbaceous Veg.","Population",0.196666666666667,0.02,0.07,0.1,0.21,2.33
"Regularly Flooded Veg.","Evergreen/Deciduous
Needleleaf Trees",0.144193548387097,0.01,0.05,0.1,0.18,0.91
"Regularly Flooded Veg.","Evergreen Broadleaf
Trees",0.184179104477612,0.01,0.055,0.1,0.255,1.5
"Regularly Flooded Veg.","Cultivated/Managed
Veg.",0.12375,0.02,0.085,0.1,0.1325,0.44
"Urban/Built-up","Evergreen Broadleaf
Trees",0.186344086021505,0.01,0.06,0.1,0.2,1.76
"Urban/Built-up","Pasture",0.414418604651163,0.02,0.05,0.1,0.25,9.76
"Livestock Mammal
Headcount","Evergreen Broadleaf
Trees",0.213440860215054,0.01,0.05,0.1,0.22,4.51
"Livestock Mammal
Headcount","Regularly Flooded Veg.",0.205428571428571,0,0.04,0.1,0.145,2.37
